CUSTOMER,FULLNAME,TAXPAYER
106056,"შ.პ.ს ""ე.კ.ფიფიას სახ.წალენჯიხის ცენტრ.საავადმყოფო""",999999187
105999,"შპს ""თბილისის გულისა და სისხლძარღვთა კლინიკა""",999999130
106030,"შპს ""სიხარული""",999999161
106239,"შპს ""ნიუ ჰოსპიტალს""",999999370
105928,"შ.პ.ს.""ინფექციური პათოლოგიის შიდსისა და კლინიკური იმუნოლოგიის ს/პ ცენტრი""",999999059
105897,"შ.პ.ს."" მედულა""ქიმიოთერაპიისა და იმუნოთერაპიის კლინიკა",999999028
106087,შპს ბაგი,999999218
105985,შპს პიტ–სტოპ,999999116
106004,"შპს ""კონსტანტინე მადიჩის სახ. მამოლოგიის ცენტრი""",999999135
106011,"შპს ""ნეოდენტი""",999999142
106113,"შპს ""მარტვილის მრავალპროფილიანი საავადმყოფო""",999999244
106208,"შპს ""მესტიის საავადმყოფო-ამბულატორიული გაერთიანება""",999999339
105871,სს ექსპრეს სერვისი,999999002
106201,სტომატოლოგიური კლინიკა “ეფლდენტი“,999999332
106151,"შპს ""მედიქალი'",999999282
105947,შ.პ.ს #5 კლინიკური საავადმყოფო,999999078
106182,სს „სამედიცინო კორპორაცია ევექსი“ - ჩხოროწყუს ჰოსპიტალი,999999313
106170,ინდ. მეწარმე თეონა თათელიშვილი,999999301
105916,სტომატოლოგიური კლინიკა ი/მ ეკატერინე კუტალია,999999047
106144,"შპს ""უნიმედი აჭარა"" შუახევი",999999275
105885,"სტომატოლოგიური კლინიკა ""ფენიქსი""",999999016
105942,"შ.პ.ს.""გეოლაბი""",999999073
105890,"შ.პ.ს.""სამედიცინო ცენტრი ციტო""",999999021
105973,დენსი–გარდაბანი,999999104
106246,"შპს ""ნათელა პატარკაციშვილის სახ.მრავალპროფილური კლინიკა დედაშვილობა""",999999377
106184,"შპს ""ესთედენტი""",999999315
106018,ი.მ. გურამ ალადაშვილი,999999149
105904,"შ.პ.ს ""ყელ–ყურ–ცხვირის სნეულებათა ეროვნული ცენტრი ჯაფარიძე–ქევანიშვილის კლინიკა""",999999035
105980,"შპს ""სხივური დიაგნოსტიკის ცენტრი დიღომი""",999999111
105878,"შ.პ.ს ""ბარნოვის სახელობის ჰოსპიტალი",999999009
106037,"შპს ""უნიმედი სამცხე""",999999168
106220,"შპს ""დენტალარტი""",999999351
106163,შპს „ემ-ემ-ტე ჰოსპიტალი“,999999294
105923,"შ.პ.ს.""სამედიცინო ცენტრი იუნონა""",999999054
106106,"შპს ""ალიანს მედ სერვისი""",999999237
105935,"შ.პ.ს.""მერამედი|""",999999066
105961,"შპს ესთეტიკური სტომატოლოგიის ცენტრი ""ელიტი""",999999092
106049,"შ.პ.ს ""აეროპორტის მრავალპროფილიანი პოლიკლინიკა""",999999180
105909,"შ.პ.ს.""რეფერალური ჰოსპიტალი""",999999040
106241,"შპს ""ექიმთა დახელოვნების უროლოგიისა და გადაუდებელი დახმარების კლინიკა""",999999372
106044,"შპს ""აკადემიკოს ვახტანგ ბოჭორიშვილის კლინიკა"" სხვა",999999175
105966,"შპს ""ქირურგიული კლინიკა სალვე""",999999097
106189,"შპს ""უნიმედი აჭარა"" ქობ.რეგიონული საავადმყოფო",999999320
106023,"შპს""დიაბეტის ენდოკრინული და გულ-ფილტვის დაავადებების ცენტრი""",999999154
105992,"შპს ""პირველი კლინიკური""",999999123
105930,"შ.პ.ს.""ქ.ბათუმის #4 პოლოკლინიკა""",999999061
105911,"შ.პ.ს.""აკად. გ.ჩაფიძის სახ.გადაუდებელი კარდიოლოგიის ცენტრი""",999999042
105913,"შ.პ.ს.""კარდიოექპრეს–დიაგნოსტიკა""",999999044
105899,შპს ს. ხეჩინაშვილის სახელობის საუნივერსიტეტო კლინიკა,999999030
106234,"შპს ""პირველი საავადმყოფო""",999999365
106108,"შპს ""კლინიკა რუსთავი""",999999239
105873,"სს.""ტრავმატოლოგი""",999999004
106027,"შპს""ნეოდენტი""",999999158
105970,"შპს""დენსი-რუსთავი""",999999101
106020,"სსიპ ""გ.აბრამიშვილის სახელობის საქართველოს თავდაცვის სამინისტროს სამხედრო ჰოსპიტალი""",999999151
106148,"შპს ""უნიმედი კახეთი""-ახალი სიცოცხლე",999999279
105918,"შ.პ.ს""იმედის კლინიკა""",999999049
105927,"შ.პ.ს ""რადიოლოგიური კლინიკა""",999999058
106153,"სს""საჩხერის რაიონული საავადმყოფო-პოლიკლინიკური გაერთიანება""",999999284
105975,"შპს ""ბათუმის სამშობიარო სახლი""",999999106
106158,სს სამედიცინო კორპორაცია ევექსი  ხონის ჰოსპიტალი,999999289
105949,შპს ქ. თბილისი მ.გურამიშვილის სახ. პედიატრიული კლინიკა,999999080
106229,"შპს ""დიაგნოსტიკური კლინიკა აირმედი""",999999360
106053,"შ.პ.ს. ""დენტალ მედი""",999999184
106051,"შ.პ.ს. ""უჯრედული ტექნოლოგიებისა და თერაპიის ცენტრი""",999999182
106202,"შპს ""სმაილი"" იოსებ მდინარაძე",999999333
106046,"შპს ""პარაცელსი""",999999177
105953,"სს ""გურჯაანის რაიონული საავამდყოფო""",999999084
105996,ი/ს ნანა კვანტალიანი,999999127
106205,ხომასურიძის რეპროდუქტოლოგიის ინსტიტუტი,999999336
105894,"შპს. ""აკად. ნ. ყიფშიძის სახელობის ცენტრალური საუნივერსიტეტო კლინიკა""",999999025
106103,"შპს ""ქუთაისის ცენტრალური საავადმყოფო""",999999234
106222,"შპს ""სანიტასი""",999999353
106048,"შ.პ.ს ""ხონელიძის კლინიკა"" შპს",999999179
105956,სტომატოლოგიური კლინიკა PS DENTAL,999999087
105946,სს აკად. ო. ღუდუშაურის სახ. ეროვნული სამედიცინო ცენტრი,999999077
106248,საქართველოს შინაგან საქმეთა სამინისტროს სსიპ 122,999999379
106098,"შპს ""ბომონდი""",999999229
105967,"შპს ""საოჯახო მედიცინის რეგიონული ცენტრი""",999999098
106155,"სს ""სამედიცინო კორპორაცია ევექსი"" ტყიბულის ჰოსპიტალი",999999286
106088,"შპს ""ხობის რაიონული ცენტრალური საავადმყოფო",999999219
106215,სტომატოლოგიური კლინიკა მედი-დენტ+,999999346
106101,"შპს ""ალიანსი მედიცინასთან""",999999232
106055,"შპს ""აჭარა უნიმედი"" ბათუმის რეფერალური საავადმყოფო",999999186
106006,"შპს ""ოქროს საწმისი XXI საუკუნე""",999999137
106236,შპს ჯთსერვისი,999999367
106224,"შპს ""მრავალპროფილური კლინიკა კონსილიუმ მედულა""",999999355
106032,"შპს ""თელავის რაიონული სააავადმყოფო""",999999163
106017,"შპს""ღია გული-საუნივერსიტეტო ჰოსპიტალი""",999999148
106079,შპს სოს ასისტანსი,999999210
106181,თსსუ ალ.ალადაშვილის სახელობის საუნივერსიტეტო კლინიკა,999999312
106022,"შპს""ქ.თბილისის ონკოლოგიური დისპანსერი""",999999153
106226,"შპს ""სმაილ დენტი""",999999357
106196,"თბილისის სახელმწიფო სამედიცინო უნივერსიტეტის ""პირველი საუნივერსიტეტო კლინიკა""",999999327
