ID,NAME_A,NAME_E,NAME_R,AVAILABLE,PID,EXTCOD
56618,ხერხემლის არხის ძვლოვანი სტენოზი,Osseous stenosis of neural canal,Костный стеноз неврального канала,1,56614,M99.3
56619,ხერხემლის არხის შემაერთებელქსოვილოვანი სტენოზი,Connective tissue stenosis of neural canal,Соединительно тканный стеноз неврального канала,1,56614,M99.4
56620,"ხერხემლის არხის სტენოზი, გამოწვეული მალთაშუა დისკებით",Intervertebral disc stenosis of neural canal,Межпозвоночный дисковый стеноз неврального канала,1,56614,M99.5
56621,მალთაშუა ხვრელების ძვლოვანი და ქვეამოვარდნილობით გამოწვეული სტენოზი,Osseous and subluxation stenosis of intervertebral foramina,Костный и подвывиховый стеноз межпозвоночных отверстий,1,56614,M99.6
56622,მალთაშუა ხვრელების შემაერთებელქსოვილოვანი და დისკოვანი სტენოზი,Connective tissue and disc stenosis of intervertebral foramina,Соединительнотканный и дисковый стеноз межпозвоночных отверстий,1,56614,M99.7
56623,სხვა ბიომექანიკური დაზიანებანი,Other biomechanical lesions,Другие биомеханические нарушения,1,56614,M99.8
56624,"ბიომექანიკური დაზიანება, დაუზუსტებელი","Biomechanical lesion, unspecified",Биомеханическое нарушение неуточненное,1,56614,M99.9
56625,მწვავე ნეფრიტული სინდრომი,Acute nephritic syndrome,Острый нефритический синдром,1,50563,N00
56626,მწვავე ნეფრიტული სინდრომი გორგლების უმნიშვნელო დაზიანებით,"Acute nephritic syndrome, minor glomerular abnormality",Острый нефритический синдром -незначительные гломерулярные нарушения,1,56625,N00.0
56627,მწვავე ნეფრიტული სინდრომი გორგლების კეროვანი და სეგმენტური დაზიანებებით,"Acute nephritic syndrome, focal and segmental glomerular lesions",Острый нефритический синдром -очаговые и сегментарные гломерулярные повреждения,1,56625,N00.1
56628,მწვავე ნეფრიტული სინდრომი დიფუზური მემბრანული გლომერულნეფრიტით,"Acute nephritic syndrome, diffuse membranous glomerulonephritis",Острый нефритический синдром -диффузный мембранозный гломерулонефрит,1,56625,N00.2
56629,მწვავე ნეფრიტული სინდრომი დიფუზური მეზანგიურ-პროლიფერაციული გლომერულნეფრიტით,"Acute nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",Острый нефритический синдром -диффузный мезангиальный пролиферативный гломерулонефрит,1,56625,N00.3
56630,მწვავე ნეფრიტული სინდრომი დიფუზური ენდოკაპილარული პროლიფერაციული გლომერულონეფრიტით,"Acute nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",Острый нефритический синдром -диффузный эндокапилярный пролиферативный гломерулонефрит,1,56625,N00.4
56631,მწვავე ნეფრიტული სინდრომი დიფუზური მეზანგიოკაპილარული გლომერულონეფრიტით,"Acute nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",Острый нефритический синдром -диффузный мезангиокапилярный гломерулонефрит,1,56625,N00.5
56632,მწვავე ნეფრიტული სინდრომი მკვრივი დეპოზიტის ავადმყოფობით,"Acute nephritic syndrome, dense deposit disease",Острый нефритический синдром -болезнь плотного осадка,1,56625,N00.6
56633,მწვავე ნეფრიტული სინდრომი დიფუზური ნამგლისებურუჯრედული გლომერულონეფრიტით,"Acute nephritic syndrome, diffuse crescentic glomerulonephritis",Острый нефритический синдром -диффузный серповидный гломерулонефрит,1,56625,N00.7
56634,მწვავე ნეფრიტული სინდრომი სხვა ცვლილებით,"Acute nephritic syndrome, other",Острый нефритический синдром -другие изменения,1,56625,N00.8
56635,მწვავე ნეფრიტული სინდრომი დაუზუსტებელი ცვლილებით,"Acute nephritic syndrome, unspecified",Острый нефритический синдром -неуточненное изменение,1,56625,N00.9
56636,სწრაფად პროგრესირებადი ნეფრიტული სინდრომი,Rapidly progressive nephritic syndrome,Быстро прогрессирующий нефритический синдром,1,50563,N01
56637,სწრაფად პროგრესირებადი ნეფრიტული სინდრომი გორგლების უმნიშვნელო დაზიანებით,"Rapidly progressive nephritic syndrome, minor glomerular abnormality",Быстро прогрессирующий нефритический синдром -незначительные гломерулярные нарушения,1,56636,N01.0
56638,სწრაფად პროგრესირებადი ნეფრიტული სინდრომი გორგლების კეროვანი და სეგმენტური დაზიანებებით,"Rapidly progressive nephritic syndrome, focal and segmental glomerular lesions",Быстро прогрессирующий нефритический синдром -очаговые и сегментарные гломерулярные повреждения,1,56636,N01.1
56639,დიფუზური მემბრანული გლომერულნეფრიტი,"Rapidly progressive nephritic syndrome, diffuse membranous glomerulonephritis",Быстро прогрессирующий нефритический синдром -диффузный мембранозный гломерулонефрит,1,56636,N01.2
56640,სწრაფად პროგრესირებადი ნეფრიტული სინდრომი დიფუზური მეზანგიურ-პროლიფერაციული გლომერულნეფრიტით,"Rapidly progressive nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",Быстро прогрессирующий нефритический синдром -диффузный мезангиальный пролиферативный гломерулонефрит,1,56636,N01.3
56641,სწრაფად პროგრესირებადი ნეფრიტული სინდრომი დიფუზური ენდოკაპილარული პროლიფერაციული გლომერულონეფრიტით,"Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",Быстро прогрессирующий нефритический синдром -диффузный эндокапилярный пролиферативный гломерулонефрит,1,56636,N01.4
56642,სწრაფად პროგრესირებადი ნეფრიტული სინდრომი დიფუზური მეზანგიოკაპილარული გლომერულონეფრიტით,"Rapidly progressive nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",Быстро прогрессирующий нефритический синдром -диффузный мезангиокапилярный гломерулонефрит,1,56636,N01.5
56643,სწრაფად პროგრესირებადი ნეფრიტული სინდრომი მკვრივი დეპოზიტის ავადმყოფობით,"Rapidly progressive nephritic syndrome, dense deposit disease",Быстро прогрессирующий нефритический синдром -болезнь плотного осадка,1,56636,N01.6
